University,Ciity/Town,University Ranking and reputation,University Fees,City Rents,Winter Application period,,Summer Courses availability,Notes,Course Link,Portal Link
TUM,Munich,22,6000,700+,,,very expensive,not an option at all without a scolarship,,
LMU,Munich,55,350,700+,,,not avilaible until Winter,the sofware engineering course seems to be taught in another university,,
University of Bonn,Bonn,207,300-600,,,,CS opens from Dec-Jan of 15,"beautiful city on the Rihne river, Rejected",Link,
University of Tübingen,Tübingen,215,-,-,,,only Machine Learning,I need more options,,
University of Duisburg-Essen,,,,,,,,German taught courses ONLY,,
Otto von Guericke University Magdeburg,,,,,,,,In German,Link,
RWTH Aachen University,Aachen,105,320,500-600,,,Not avilaible until Winter,"nice city, nice university but we have to wait for a year, also need GRE exam",,
Technische Universität Berlin ,Berlin,145,350,,01.06.2026 until 31.08.2026         ,B2,CS - Summer,intersting university and it's currently open,Link,Link
karlsruhe university technology,karlsruhe ,98,1500,500-600,"opens May 01, 2026.",B2,CS - Summer,very good university but the fees thing really sucks!!,Link,
Technical University of Darmstadt,Darmstadt,253,350,,before July,C1,CS - Summer need to be checked,I don't know anything about the city and the university and it's not clear if summer semester is avilable or not ,Link,Link
University of Freiburg,Freiburg,201,100-300,,01 June – 15 July 2026,C1,CS - Summer,opens in Nov cool city in south of germany but need to check how strong the university is in IT,Link,Link
University of Paderborn,Paderborn,,300,??,31 May,B2,,"strict in subjects! only through uni assist u can apply, good university",Link,Link
Universität Stuttgart,Stuttgart,310,"1,500",,you need to apply 9 months earlier,B2 ,you need to apply 9 months earlier,,Link,
University of Siegen,,,372.8,,1 January – 30 April,,,,Link,Link
University of Passau,,,372.8,,"15 April - 31 May (direct applications)
1 April - 31 May (applications via uni-assist e.V.)",B2 ,,,Link,
University of Göttingen,,,€300–€400,, deadline in 15/04/2026,C1,,,Link,Link
Aalen University,,,"1,500",,        June 15        December 15,B2,,,Link,Link
University of Regensburg,,,198,,Mid/late April to June 1,B2,,,Link,Link
Saarland University,,,394.3,,deadline in  May 15,C1 ,,,Link,Link
